Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
585 Boylston St,42.350411,-71.076532,0,0,0,0,1,0,15000000,0,Condominium,0,1,2006
6-8 W Broadway,42.342942,-71.057009,0,0,0,0,0,0,15000000,0,Apartment,1900,1,2015
17 Louisburg Sq,42.358424,-71.068599,0,0,0,0,0,0,14800000,0,Single-Family,1899,1,2022
35 Commonwealth Ave #3,42.353025,-71.074723,0,0,0,0,1,0,14500000,0,Condominium,1899,1,2021
211 Park Dr,42.341792,-71.100974,0,0,0,0,0,0,14425000,0,Apartment,1920,2,2006
435-437 Cambridge St,42.354912,-71.13446,0,0,0,0,0,0,14280000,16440000,Apartment,1925,2,2011
77 Park Dr,42.342332,-71.095307,0,0,0,0,1,0,14250000,0,Apartment,1910,1,2020
81 Park Dr,42.342223,-71.095526,0,0,0,0,1,0,14250000,0,Apartment,1910,1,2020
16 Marlborough St,42.354388,-71.072722,0,0,0,0,1,0,14143000,4286000,Three-Family,1899,2,2022
776 Boylston St #PH2B,42.348809,-71.081814,0,0,0,0,1,0,14125000,0,Condominium,2008,1,2021
1 Dalton St #5501,42.345267,-71.084125,0,0,0,0,1,0,13750000,0,Condominium,2015,1,2021
74 Brainerd Rd,42.347376,-71.133619,0,0,0,0,0,0,13630000,0,Apartment,1920,1,2012
1 Dalton St #5601,42.345267,-71.084125,0,0,0,0,1,0,13500000,0,Condominium,2015,1,2020
300 Boylston St #1005,42.351851,-71.070215,0,0,0,1,1,0,13500000,7450000,Condominium,1988,3,2015
776 Boylston St #E12B,42.348809,-71.081814,0,0,0,0,1,0,13350000,0,Condominium,2008,1,2022
1 Dalton St #4301,42.345267,-71.084125,0,0,0,0,1,0,13300000,0,Condominium,2015,1,2019
251 Commonwealth Ave,42.350824,-71.083291,0,0,0,0,1,0,13000000,0,Apartment,1899,1,2022
5 Louisburg Sq,42.35808,-71.068386,0,0,0,0,0,0,13000000,0,Single-Family,1900,1,2022
52 Westland Ave,42.343521,-71.087967,0,0,0,0,0,0,12800000,0,Apartment,1899,1,2012
56-58 Selkirk Rd,42.339261,-71.149093,0,0,0,0,0,0,12800000,0,Apartment,1930,1,2022
264 Huntington Ave,42.267798,-71.117374,0,0,0,0,0,0,12770000,24460000,Two-Family,2008,2,2016
211 Commonwealth Ave,42.35133,-71.081454,0,0,0,0,1,0,12736000,0,Single-Family,1899,1,2014
