Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
37 Spring St,42.277865,-71.162028,0,0,0,0,0,0,641500,383000,Two-Family,1898,2,2018
416 Commonwealth Ave #508,42.348787,-71.090908,0,0,0,0,1,0,641500,94000,Condominium,1910,6,2005
44 Prince St #403,42.364754,-71.054841,0,0,0,0,0,0,641500,0,Condominium,2005,1,2006
44 Saint James St,42.326547,-71.08514,0,0,0,0,0,0,641500,133000,Single-Family,1890,3,2016
48 Beacon St #5F,42.356689,-71.067678,0,0,0,0,0,0,641500,255000,Condominium,1930,3,2000
7 Bay State Rd #1,42.348313,-71.0684,0,0,0,1,1,3,641500,48000,Condominium,1895,3,2004
758 Tremont St #2,42.339824,-71.079178,0,0,0,1,1,0,641500,103000,Condominium,1899,5,2015
8 Whittier Pl #21E,42.365893,-71.067451,0,0,0,0,0,0,641500,277000,Condominium,1964,2,2012
8 Worcester Sq #1,42.337322,-71.075306,0,0,0,1,0,0,641500,111000,Condominium,1899,5,2018
100-102 Perkins St #1,42.321235,-71.114501,0,0,0,0,0,0,641000,312000,Condominium,1910,2,2005
104 Pembroke St #2,42.342293,-71.076805,0,0,0,1,1,0,641000,102000,Condominium,1899,3,2018
12 Furnival Rd,42.31152,-71.1297,0,0,0,0,0,0,641000,159000,Single-Family,1929,2,2009
126 Dwinell St,42.289354,-71.163864,0,0,0,0,0,0,641000,481000,Single-Family,1950,2,2022
130 Saint Marys St #1,42.345526,-71.106343,0,0,0,0,0,0,641000,157000,Condominium,1887,3,2017
133 Pembroke St #4,42.342893,-71.077109,0,0,0,1,1,0,641000,168000,Condominium,1899,3,2007
17 Lakeville Rd #3,42.317071,-71.115583,0,0,0,0,0,0,641000,0,Condominium,1909,1,2018
203 K St #5,42.336327,-71.037569,0,0,0,0,0,0,641000,105000,Condominium,2000,6,2022
24 Thelma Rd #3,42.294594,-71.053977,0,0,0,0,0,0,641000,0,Condominium,1905,1,2021
294 Corey St,42.292626,-71.16189,0,0,0,0,0,0,641000,100000,Single-Family,1892,3,2006
380 Columbus Ave #1,42.3453,-71.075752,0,0,0,1,1,0,641000,60000,Condominium,1885,3,2007
41 Armandine St,42.284712,-71.0726,0,0,0,0,0,0,641000,602000,Apartment,1905,2,2011
44 Bournedale Rd,42.291118,-71.115994,0,0,0,0,0,0,641000,122000,Single-Family,1925,2,2018
50 Boylston St,42.318294,-71.108951,0,0,0,0,0,0,641000,0,Apartment,1905,1,2001
610 E 6th St #3,42.333191,-71.035948,0,0,0,0,0,0,641000,105000,Condominium,1890,4,2013
8-14 Newcomb St #5,42.334214,-71.078707,0,0,0,0,0,0,641000,208000,Condominium,1900,3,2007
82 School St #1,42.378947,-71.063538,0,0,0,0,0,0,641000,172000,Condominium,1999,5,2013
120 Mountfort St #403,42.348318,-71.106038,0,0,0,0,0,0,640500,33000,Condominium,1960,2,2014
1721 Washington St #507,42.336853,-71.076508,0,0,0,1,0,0,640500,270000,Condominium,2002,2,2007
209 W 6th St #209,42.335198,-71.050728,0,0,0,0,0,0,640500,437000,Condominium,1989,2,2006
33 Nottinghill Rd,42.343805,-71.150013,0,0,0,0,0,0,640500,223000,Single-Family,1926,3,2003
35 Courtney Rd,42.295178,-71.148878,0,0,0,0,0,0,640500,379000,Single-Family,1938,2,2015
350 Marlborough St #2,42.350976,-71.085723,0,0,0,0,1,0,640500,83000,Condominium,1890,4,2005
37-1/2 O St #3,42.33719,-71.029407,0,0,0,0,0,0,640500,312000,Condominium,2002,3,2008
4 Salem St #4,42.377426,-71.066653,0,0,0,0,0,0,640500,168000,Condominium,1870,3,2018
6 Gloucester St #2,42.351299,-71.085327,0,0,0,0,1,0,640500,194000,Condominium,1880,4,2015
65 E India Row #14E,42.358036,-71.051007,0,1,1,1,1,0,640500,0,Condominium,1970,1,2022
65 E India Row #G,42.358036,-71.051007,0,1,1,1,1,0,640500,0,Condominium,1972,2,2011
735 E 3rd St #3,42.336501,-71.029258,0,0,0,0,0,0,640500,189000,Condominium,1905,3,2013
10 Waverly St,42.360931,-71.145414,0,0,0,0,0,0,640000,720000,Two-Family,0,2,2000
11 Albano St,42.282492,-71.12977,0,0,0,0,0,0,640000,0,Two-Family,1905,1,2004
11 Wilcox Rd #2,42.285678,-71.058758,0,0,0,0,0,0,640000,120000,Condominium,2013,2,2016
110 Park St #1,42.2845,-71.155284,0,0,0,0,0,0,640000,0,Condominium,2016,1,2018
111 Arlington St,42.352659,-71.156989,0,0,0,0,0,0,640000,420000,Single-Family,1900,2,2007
1121 Washington St,42.27315,-71.069997,0,0,0,0,0,0,640000,0,Single-Family,1900,1,2021
114 Fenway #12,42.341908,-71.091614,0,0,0,0,1,0,640000,0,Condominium,1910,1,2007
115 Orleans St,42.369617,-71.036442,0,1,1,1,1,0,640000,0,Apartment,1913,1,2012
116 Milton St,42.280425,-71.054342,0,0,0,0,0,0,640000,0,Single-Family,1905,1,2022
121-123 Beach St #802,42.350656,-71.057767,0,0,1,1,1,0,640000,0,Condominium,1899,1,2001
12-14 Newcastle Rd,42.353498,-71.159356,0,0,0,0,0,0,640000,0,Two-Family,1910,1,2012
1241-1255 Adams St #WM104,42.271703,-71.068044,0,0,0,0,0,0,640000,0,Condominium,1900,1,2018
126 Thornton St #1,42.323158,-71.09132,0,0,0,0,0,0,640000,0,Condominium,2017,1,2017
1-3 Virgil Rd,42.284,-71.161714,0,0,0,0,0,0,640000,0,Two-Family,1920,1,2005
13 Wordsworth St,42.385183,-71.019061,0,0,0,0,1,0,640000,0,Three-Family,1870,1,2016
132 Thornton St,42.322813,-71.091609,0,0,0,0,0,0,640000,1020000,Single-Family,1905,2,2010
134 W Selden St,42.27644,-71.086592,0,0,0,0,0,0,640000,0,Two-Family,1960,1,2019
14 Oakley St,42.301582,-71.070457,0,0,0,0,0,0,640000,370000,Single-Family,1900,2,2022
14 Waterlow St,42.29769,-71.076988,0,0,0,0,0,0,640000,0,Single-Family,1880,1,2021
140 Carolina Ave,42.307873,-71.109927,0,0,0,0,0,0,640000,0,Single-Family,2005,1,2006
1474 Commonwealth Ave #2,42.347426,-71.140266,0,0,0,0,0,0,640000,0,Condominium,1925,1,2022
149-151 Calumet St,42.329644,-71.102648,0,0,0,0,0,3,640000,0,Two-Family,1936,2,2004
15 Preston Rd,42.282893,-71.160055,0,0,0,0,0,0,640000,250000,Single-Family,1938,2,2015
151 Tremont St #16A,42.355397,-71.063003,0,0,0,0,0,0,640000,0,Condominium,1968,1,2017
16 Landor Rd,42.283335,-71.091471,0,0,0,0,0,0,640000,0,Three-Family,1905,1,2018
16 Miner St #604,42.346729,-71.102995,0,0,0,0,0,0,640000,114000,Condominium,2006,2,2010
16 Treadway Rd,42.313696,-71.058225,0,0,0,0,0,0,640000,298000,Single-Family,1900,3,2017
1721 Washington St #503,42.336989,-71.076499,0,0,0,1,0,0,640000,0,Condominium,2002,1,2021
174 Princeton St,42.378648,-71.033202,0,0,0,0,0,0,640000,0,Two-Family,1880,1,2018
18 Green St #18,42.313096,-71.113257,0,0,0,0,0,0,640000,0,Condominium,1869,1,2016
183 Blue Hill Ave,42.318494,-71.089314,0,0,0,0,0,0,640000,0,Two-Family,1900,1,2020
187 Orange St,42.2796,-71.141313,0,0,0,0,0,0,640000,0,Single-Family,1920,1,2021
19-21 Woodstock Ave,42.345131,-71.13826,0,0,0,0,0,0,640000,0,Two-Family,1930,1,2009
2 Arbroth St,42.29039,-71.052877,0,0,0,0,0,0,640000,0,Single-Family,1929,1,2018
2 Tremont Pl #2,42.350727,-71.1725,0,0,0,0,0,0,640000,0,Condominium,1899,1,2016
200 W 6th St #2,42.335513,-71.050851,0,0,0,0,0,0,640000,0,Condominium,1890,1,2017
2021 Commonwealth Ave #B,42.340042,-71.159644,0,0,0,0,0,0,640000,180000,Condominium,1920,2,2017
207 Lagrange St,42.276217,-71.151582,0,0,0,0,0,0,640000,0,Single-Family,1935,1,2022
21 Eutaw St,42.37868,-71.038805,0,0,0,0,0,0,640000,0,Three-Family,1880,1,2017
21 Pleasant St,42.317273,-71.059333,0,0,0,0,0,0,640000,0,Three-Family,1920,1,2015
21 Wall St #1,42.379802,-71.065271,0,0,0,0,0,0,640000,0,Condominium,2014,1,2021
211 W 8th St,42.33327,-71.051848,0,0,0,1,0,0,640000,0,Three-Family,1900,1,2008
23 Monument Sq #1,42.377006,-71.060445,0,0,0,0,0,0,640000,0,Condominium,1890,1,2008
23 Symmes St,42.289498,-71.130808,0,0,0,0,0,0,640000,0,Single-Family,1923,1,2014
238 Saratoga St #3,42.377837,-71.033069,0,0,0,0,0,0,640000,0,Condominium,1910,1,2021
243 Bunker Hill St #2,42.379678,-71.063907,0,0,0,0,0,0,640000,0,Condominium,1890,1,2014
25 Spring Park Ave,42.317018,-71.111268,0,0,0,0,0,0,640000,0,Two-Family,1880,1,2006
256 Stratford St,42.278538,-71.143684,0,0,0,0,0,0,640000,0,Single-Family,1935,1,2017
26-28 Fayston St,42.313494,-71.077833,0,0,0,0,0,0,640000,0,Three-Family,1920,1,2020
27 Wareham St #PH3,42.339576,-71.067957,0,0,0,1,1,0,640000,260000,Condominium,2000,2,2001
27-29 Mapleton St,42.35202,-71.150102,0,0,0,0,0,0,640000,0,Two-Family,1930,1,2004
277 W 3rd St #1,42.338198,-71.047796,0,0,0,0,0,0,640000,336000,Condominium,1890,2,2012
28 Woodard Rd,42.279159,-71.144932,0,0,0,0,0,0,640000,0,Single-Family,1934,1,2012
28 Woodbourne Rd,42.291827,-71.113012,0,0,0,0,0,0,640000,0,Single-Family,1937,1,2018
28-30 Schuyler St #1,42.309112,-71.086668,0,0,0,0,0,0,640000,0,Condominium,1905,1,2020
29 Glenham St,42.288585,-71.170002,0,0,0,0,0,0,640000,620000,Single-Family,1930,2,2019
292 Bunker Hill St #2,42.380066,-71.065096,0,0,0,0,0,0,640000,0,Condominium,1899,1,2021
30 Bateswell Rd,42.285627,-71.058041,0,0,0,0,0,0,640000,0,Single-Family,1925,1,2018
30 Bearse Ave,42.27162,-71.062916,0,0,0,0,0,0,640000,0,Two-Family,1920,1,2016
31 Delle Ave,42.331187,-71.098724,0,0,0,0,0,0,640000,147000,Apartment,1935,7,2004
32 Summer St,42.257694,-71.125383,0,0,0,0,0,0,640000,0,Two-Family,1935,1,2020
32 Temple St #2,42.360291,-71.063497,0,0,0,0,0,0,640000,0,Condominium,1930,1,2020
3215 Washington St,42.312122,-71.102059,0,0,0,0,0,0,640000,0,Two-Family,1905,1,2017
34 Knoll St,42.291779,-71.133952,0,0,0,0,0,0,640000,0,Single-Family,1920,1,2021
35 Havelock St,42.286329,-71.091756,0,0,0,0,0,0,640000,0,Three-Family,1920,1,2017
35 Rutland Sq #3,42.342222,-71.078698,0,0,0,0,1,0,640000,0,Condominium,1890,1,2016
36-38 Brookside Ave #2,42.313827,-71.102968,0,0,0,0,0,0,640000,0,Condominium,2017,1,2017
37 Bay State Rd #1,42.348275,-71.068363,0,0,0,1,1,0,640000,800000,Condominium,1890,2,2012
39 Upton St #5,42.342753,-71.072529,0,0,0,1,1,0,640000,0,Condominium,1900,1,2006
40-40A Newbern St,42.308854,-71.109829,0,0,0,0,0,0,640000,0,Two-Family,1890,1,2019
41 Delle Ave,42.33121,-71.099061,0,0,0,0,0,0,640000,0,Single-Family,1900,1,2021
416 Marlborough St #708,42.35004,-71.088819,0,0,0,0,1,0,640000,70000,Condominium,1989,2,2001
42 8th St #1507,42.374011,-71.051866,1,1,1,1,1,0,640000,53000,Condominium,1899,7,2018
47 Easton St,42.359811,-71.131058,0,0,0,0,0,0,640000,0,Three-Family,1920,1,2011
47 Newcroft Cir,42.271988,-71.084471,0,0,0,0,0,0,640000,0,Two-Family,1948,1,2021
474 Shawmut Ave #4,42.338606,-71.075958,0,0,0,1,0,0,640000,200000,Condominium,1899,2,2017
47-49 Saint Joseph St #2,42.306454,-71.117782,0,0,0,0,0,0,640000,0,Condominium,1905,1,2022
48 Maynard St,42.275807,-71.124084,0,0,0,0,0,0,640000,0,Single-Family,1960,1,2022
49 L St #4,42.337317,-71.035465,0,0,0,0,0,0,640000,0,Condominium,2013,1,2014
5 Neponset Ct #5,42.286492,-71.114748,0,0,0,0,0,0,640000,0,Condominium,2004,1,2020
5 Stone Ter,42.279031,-71.068693,0,0,0,0,0,0,640000,0,Single-Family,1940,1,2018
51 Lexington St,42.377662,-71.037399,0,0,0,0,0,0,640000,180000,Three-Family,1900,2,2021
52 Metropolitan Ave,42.280925,-71.132621,0,0,0,0,0,0,640000,0,Three-Family,1905,1,2006
5314-5316 Washington St,42.258299,-71.160454,0,0,0,0,0,0,640000,280000,Two-Family,1910,2,2003
55 W Broadway #5,42.342145,-71.056202,0,0,0,0,0,0,640000,0,Condominium,1900,1,2016
56-58 Story St #2,42.333388,-71.042847,0,0,0,0,0,0,640000,0,Condominium,1900,1,2016
581 Norfolk St,42.276979,-71.092323,0,0,0,0,0,0,640000,0,Three-Family,1905,1,2005
59 Pleasant St #3,42.315225,-71.059855,0,0,0,0,0,0,640000,0,Condominium,2016,1,2022
6 Otisfield St,42.313408,-71.080685,0,0,0,0,0,0,640000,0,Two-Family,1880,1,2020
6 Selkirk Rd #1,42.339512,-71.147303,0,0,0,0,0,0,640000,0,Condominium,1900,1,2020
62 Pershing Rd,42.319016,-71.114325,0,0,0,0,0,0,640000,0,Single-Family,1996,1,2001
64 Belle Ave,42.271436,-71.165749,0,0,0,0,0,0,640000,0,Single-Family,2011,1,2011
64 Charlemont St,42.285963,-71.052326,0,0,0,0,0,0,640000,0,Single-Family,1927,1,2017
68 Marlborough St #A,42.353756,-71.075023,0,0,0,0,1,2,640000,80000,Condominium,1890,3,2007
69 Vincent Rd,42.29527,-71.140947,0,0,0,0,0,0,640000,320000,Single-Family,1950,2,2021
7 Armory St,42.381494,-71.070169,0,0,0,0,0,0,640000,0,Single-Family,1880,1,2022
7 Mitchell St,42.332853,-71.052132,0,0,0,1,0,0,640000,0,Single-Family,1900,1,2018
70-72 Perthshire Rd,42.353896,-71.168707,0,0,0,0,0,0,640000,0,Two-Family,1925,1,2010
71 Mcbride St,42.305955,-71.112629,0,0,0,0,0,0,640000,310000,Two-Family,1900,2,2003
73 Chelsea St #302,42.371716,-71.036501,1,1,1,1,0,0,640000,360000,Condominium,2000,2,2021
74 Wordsworth St,42.384794,-71.016475,0,0,0,0,1,0,640000,0,Two-Family,1910,1,2018
75 Bradfield Ave #1,42.289566,-71.140029,0,0,0,0,0,0,640000,0,Condominium,1910,1,2020
7-9 Mapleton St,42.35227,-71.150852,0,0,0,0,0,0,640000,0,Two-Family,1920,1,2011
8 Capital St,42.285968,-71.170709,0,0,0,0,0,0,640000,0,Single-Family,1907,1,2017
8 Franklin Ter,42.252125,-71.116375,0,0,0,0,0,0,640000,0,Single-Family,1954,1,2022
8 Whittier Pl #22E,42.365893,-71.067451,0,0,0,0,0,0,640000,0,Condominium,1964,1,2021
80-82 Fenwood Rd #616,42.336145,-71.109245,0,0,0,0,0,0,640000,0,Condominium,2016,1,2019
8-14 Temple St #14,42.359894,-71.063571,0,0,0,0,0,0,640000,0,Condominium,1899,1,2022
83 Montgomery St #2,42.343586,-71.07434,0,0,0,1,1,0,640000,0,Condominium,1890,1,2016
85 E India Row #28G,42.357947,-71.050993,1,1,1,1,1,0,640000,66000,Condominium,1972,3,2013
854 Saratoga St,42.385247,-71.013479,0,0,0,1,0,0,640000,0,Two-Family,1910,1,2018
87-89 W Walnut Park,42.322277,-71.085139,0,0,0,0,0,0,640000,0,Two-Family,1915,1,2019
9 Oxford Pl,42.351908,-71.061164,0,0,0,0,0,0,640000,0,Apartment,1899,1,2014
90 Prince St #3,42.365486,-71.056004,0,0,0,1,0,2,640000,145000,Condominium,1987,3,2013
90 Wareham St #509,42.338666,-71.066583,0,0,0,1,1,0,640000,0,Condominium,1900,1,2019
90 Wareham St #514,42.338666,-71.066583,0,0,0,1,1,0,640000,0,Condominium,1900,1,2021
91 Harvard St,42.297148,-71.077314,0,0,0,0,0,0,640000,0,Two-Family,1910,1,2018
92 Coleman St,42.307819,-71.066751,0,0,0,0,0,0,640000,390000,Three-Family,1890,2,2003
95-97 W Walnut Park,42.321949,-71.085377,0,0,0,0,0,0,640000,320000,Two-Family,1905,2,2017
96 Appleton St #1,42.34536,-71.073524,0,0,0,1,1,0,640000,0,Condominium,1890,1,2005
97 Mount Vernon St #23,42.357929,-71.069481,0,0,0,0,1,0,640000,150000,Condominium,1920,3,2007
998 Centre St #3,42.30363,-71.124804,0,0,0,0,0,0,640000,0,Condominium,1885,1,2022
102 Old Harbor St #2,42.331538,-71.047288,0,0,0,0,0,0,639500,259000,Condominium,1890,2,2012
11 Grew Ave,42.277611,-71.123475,0,0,0,0,0,0,639500,181000,Single-Family,1968,2,2017
130 Willow St #130,42.290504,-71.154587,0,0,0,0,0,0,639500,321000,Condominium,1920,2,2015
14 Joy St #2,42.359071,-71.06506,0,0,0,0,0,0,639500,107000,Condominium,1850,4,2007
151 Tremont St #7B,42.355397,-71.063003,0,0,0,0,0,0,639500,0,Condominium,1968,1,2017
2 Avery St #25A,42.353193,-71.063136,0,0,0,0,0,0,639500,51000,Condominium,1999,3,2006
272 Bunker Hill St #2,42.379908,-71.064785,0,0,0,0,0,0,639500,126000,Condominium,1900,3,2009
280 Commonwealth Ave #G6,42.34988,-71.084357,0,0,0,0,1,0,639500,96000,Condominium,1899,3,2002
42 8th St #5522,42.374776,-71.052581,0,0,1,1,1,0,639500,99000,Condominium,1899,2,2005
50 Lasell St,42.287444,-71.169062,0,0,0,0,0,0,639500,359000,Single-Family,1940,2,2003
51 Church St,42.289352,-71.145954,0,0,0,0,0,0,639500,1165000,Single-Family,1950,2,2022
565 Hyde Park Ave,42.281026,-71.118979,0,0,0,0,0,0,639500,0,Apartment,1965,1,2000
69 Old Harbor St,42.332586,-71.047573,0,0,0,0,0,0,639500,4000,Three-Family,1910,3,2006
7 Eliot St,42.310167,-71.11585,0,0,0,0,0,0,639500,21000,Two-Family,1900,2,2003
8 Mendum St,42.291046,-71.128221,0,0,0,0,0,0,639500,216000,Single-Family,1920,3,2003
81 Joyce Kilmer Rd,42.270832,-71.165357,0,0,0,0,0,0,639500,301000,Single-Family,1950,2,2018
1 Nassau St #1501,42.348799,-71.063184,0,0,0,0,0,0,639000,189000,Condominium,2004,3,2020
1 Nassau St #1609,42.348799,-71.063184,0,0,0,0,0,0,639000,0,Condominium,2004,1,2004
109 Beech St,42.284371,-71.146727,0,0,0,0,0,0,639000,0,Single-Family,1910,1,2016
126 Jersey St #202,42.34281,-71.096861,0,0,0,0,0,0,639000,0,Condominium,2002,1,2017
14 Davitt St,42.312635,-71.049493,0,0,0,0,0,0,639000,0,Single-Family,1892,1,2018
14 Patterson St,42.279388,-71.065245,0,0,0,0,0,0,639000,0,Single-Family,1900,1,2018
15 Brighton St #3,42.383158,-71.07818,0,0,0,0,0,0,639000,8000,Condominium,2006,2,2019
15 Preble St #8,42.32949,-71.0567,0,0,0,1,0,0,639000,0,Condominium,1900,1,2015
151 Tremont St #8C,42.355397,-71.063003,0,0,0,0,0,0,639000,80000,Condominium,1968,2,2014
16 Boardman St #104,42.387864,-71.008997,1,0,1,1,0,0,639000,0,Condominium,2017,1,2021
160 Commonwealth Ave #414,42.351537,-71.078204,0,0,0,1,1,0,639000,0,Condominium,1881,1,2012
170 Tremont St #903,42.353617,-71.064016,0,0,0,0,0,0,639000,0,Condominium,1989,1,2010
18 Saint Margaret St,42.321636,-71.058671,0,0,0,0,0,0,639000,255000,Single-Family,1900,4,2004
2 Clarendon St #210,42.344091,-71.072116,0,0,0,1,1,0,639000,119000,Condominium,1988,4,2006
220 Commercial St #1R,42.36343,-71.05152,0,1,1,1,0,0,639000,118000,Condominium,1910,6,2020
23 Cook St,42.380554,-71.063846,0,0,0,0,0,0,639000,72000,Single-Family,2001,4,2002
23 Rustic Rd,42.278423,-71.150414,0,0,0,0,0,0,639000,0,Single-Family,1930,1,2014
25 Hawthorne St,42.324399,-71.091886,0,0,0,0,0,0,639000,0,Two-Family,1875,1,2016
33 Sleeper St #104,42.352043,-71.049101,1,1,1,1,1,0,639000,0,Condominium,1911,1,2014
350 North St #302,42.365541,-71.051744,0,0,0,0,0,2,639000,121000,Condominium,1986,3,2004
375 Marlborough St #3,42.350662,-71.087217,0,0,0,0,1,0,639000,188000,Condominium,1900,4,2011
4 Charlesgate E #705,42.349847,-71.091522,0,0,0,0,1,0,639000,0,Condominium,1910,1,2002
4 Wallace Ct #2,42.375307,-71.060285,0,0,0,0,0,3,639000,212000,Condominium,1855,3,2020
406 Saratoga St,42.379176,-71.029757,0,0,0,0,0,0,639000,313000,Three-Family,1899,2,2019
42 8th St #2514,42.374011,-71.051866,1,1,1,1,1,0,639000,70000,Condominium,1899,5,2018
433 E 3rd St #1,42.336272,-71.043067,0,0,0,0,0,0,639000,423000,Condominium,1890,2,2019
53 Royal St,42.358904,-71.130802,0,0,0,0,0,0,639000,0,Three-Family,1900,1,2004
5-R Salem St,42.377323,-71.066427,0,0,0,0,0,3,639000,118000,Single-Family,1865,5,2014
773 E 5th St #3,42.333945,-71.029598,0,0,0,0,0,0,639000,175000,Condominium,1988,3,2021
788 E 4th St #1,42.334824,-71.031782,0,0,0,0,0,0,639000,0,Condominium,1900,1,2015
95 Woodley Ave,42.263397,-71.150287,0,0,0,0,0,0,639000,0,Single-Family,1960,1,2022
1 Maria Ln,42.282771,-71.135969,0,0,0,0,0,0,638500,513000,Single-Family,1900,2,2015
1 Nassau St #1701,42.348799,-71.063184,0,0,0,0,0,0,638500,172000,Condominium,2004,3,2008
192 W Springfield St #2,42.339712,-71.079751,0,0,0,1,1,0,638500,120000,Condominium,1880,3,2010
2 Cary Pl #2,42.378532,-71.066474,0,0,0,0,0,0,638500,0,Condominium,2010,1,2010
20 Adams St #2,42.374815,-71.060075,0,0,0,0,0,0,638500,183000,Condominium,1875,2,2014
20 Floyd St,42.289864,-71.088728,0,0,0,0,0,0,638500,223000,Three-Family,1900,2,2006
21 Wormwood St #614,42.347341,-71.05033,1,1,1,1,1,0,638500,0,Condominium,1900,4,2006
234 Causeway St #816,42.366538,-71.059491,1,0,1,1,1,0,638500,115000,Condominium,1899,4,2011
27 Saint James St,42.326756,-71.085795,0,0,0,0,0,0,638500,250000,Single-Family,1905,3,2014
334 Beacon St #9,42.35254,-71.083596,0,0,0,0,1,0,638500,114000,Condominium,1890,4,2007
44 Waldemar Ave,42.391034,-71.000637,0,0,0,0,0,3,638500,104000,Single-Family,2001,3,2020
46 Commonwealth Ave #4,42.352685,-71.073787,0,0,0,0,1,0,638500,87000,Condominium,1865,4,2010
47 Harvard St #C403,42.373104,-71.063036,0,0,0,0,0,0,638500,140000,Condominium,1986,4,2004
492 Beacon St #63,42.351009,-71.089244,0,0,0,0,1,0,638500,235000,Condominium,1890,3,2005
56 Patten St,42.293468,-71.114787,0,0,0,0,0,0,638500,268000,Two-Family,1920,3,2006
65 Cornwall St #307,42.312155,-71.104444,0,0,0,0,0,0,638500,321000,Condominium,2004,2,2005
66 Oriole St,42.279184,-71.151431,0,0,0,0,0,0,638500,185000,Single-Family,1924,3,2012
717 Atlantic Ave #1A,42.350702,-71.056632,0,0,1,1,1,0,638500,0,Condominium,0,1,2004
7-9 Sheridan St #1,42.321717,-71.108953,0,0,0,0,0,0,638500,127000,Condominium,1905,2,2017
8 Hecla St,42.306915,-71.058904,0,0,0,0,0,0,638500,201000,Two-Family,1900,4,2006
8 Manley St #1,42.296425,-71.054128,0,0,0,0,0,0,638500,0,Condominium,2013,1,2021
8 Tip Top St,42.351222,-71.169735,0,0,0,0,0,0,638500,163000,Single-Family,1925,3,2015
85 Orchard St #1,42.31143,-71.120276,0,0,0,0,0,0,638500,7000,Condominium,1920,2,2007
88 Dunster Rd #1,42.311471,-71.119152,0,0,0,0,0,0,638500,163000,Condominium,1910,3,2014
90 Boylston St #1,42.317033,-71.10488,0,0,0,0,0,0,638500,339000,Condominium,1998,2,2014
1 Aldie St,42.359227,-71.136987,0,0,0,0,0,0,638000,0,Two-Family,1890,1,2014
1 Nassau St #2005,42.348799,-71.063184,0,0,0,0,0,0,638000,0,Condominium,2004,1,2004
104 F St,42.335924,-71.048977,0,0,0,0,0,0,638000,199000,Single-Family,1890,4,2013
141 Lamartine St #141,42.318569,-71.104045,0,0,0,0,0,0,638000,110000,Condominium,2004,5,2016
20 Rowes Wharf #504,42.356979,-71.050463,0,0,0,0,1,0,638000,0,Condominium,1987,1,2005
20 Spalding St #2,42.303615,-71.11355,0,0,0,0,0,0,638000,66000,Condominium,1905,2,2018
27-29 Blaine St,42.356262,-71.13781,0,0,0,0,0,0,638000,0,Two-Family,1890,1,2002
28-32 Atlantic Ave #611,42.363443,-71.05093,1,1,1,1,1,0,638000,174000,Condominium,1868,2,2005
30 Beaufort Rd #2,42.316583,-71.114338,0,0,0,0,0,0,638000,74000,Condominium,1905,2,2014
358 Bunker Hill St #1,42.381548,-71.067875,0,0,0,0,0,0,638000,147000,Condominium,1885,6,2003
37 Mallet St,42.290497,-71.058038,0,0,0,0,0,0,638000,0,Single-Family,1910,1,2019
383 Beacon St #B,42.352001,-71.084799,0,0,0,0,1,0,638000,646000,Condominium,1870,2,2021
411-413 E 5th St,42.333716,-71.042497,0,0,0,0,0,0,638000,0,Two-Family,1900,1,2014
45 Province St #711,42.356912,-71.060201,0,0,0,0,0,0,638000,0,Condominium,2007,1,2010
53-55 Chelmsford St,42.284741,-71.053381,0,0,0,0,0,0,638000,0,Two-Family,1922,1,2005
76 W Cedar St #2F,42.360181,-71.070147,0,0,0,0,1,0,638000,137000,Condominium,1900,4,2014
85 Eutaw St #2,42.379523,-71.036827,0,0,0,0,0,0,638000,74000,Condominium,2016,2,2016
9 Park St #1,42.302427,-71.053121,0,0,0,0,0,0,638000,0,Condominium,2013,1,2020
94 Montview St,42.286111,-71.161205,0,0,0,0,0,0,638000,0,Single-Family,1938,1,2009
113-115 Nottinghill Rd,42.343895,-71.150022,0,0,0,0,0,0,637500,925000,Two-Family,1930,2,2003
1241-1255 Adams St #WM205,42.271703,-71.068044,0,0,0,0,0,0,637500,35000,Condominium,1900,2,2020
127-129 D St,42.335792,-71.054268,0,0,1,1,0,1,637500,25000,Apartment,2011,4,2008
14 Royal St #2,42.358483,-71.13061,0,0,0,0,0,0,637500,555000,Condominium,1900,2,2018
157 Beacon St #1,42.354649,-71.075101,0,0,0,0,1,0,637500,0,Condominium,1910,1,2020
1597 Washington St #400,42.338442,-71.074435,0,0,0,1,0,0,637500,213000,Condominium,2000,3,2000
1626-1628 Columbia Rd #1,42.329677,-71.036595,0,0,0,1,0,0,637500,325000,Condominium,1900,2,2004
189 Wren St,42.278344,-71.147325,0,0,0,0,0,0,637500,0,Single-Family,1925,1,2021
295-297 Beacon St #22,42.352999,-71.081112,0,0,0,1,1,0,637500,0,Condominium,1885,1,2009
32 Eldridge Rd #3,42.29229,-71.116311,0,0,0,0,0,0,637500,0,Condominium,1905,1,2022
34 Bonair St,42.291605,-71.163383,0,0,0,0,0,0,637500,375000,Single-Family,1930,2,2021
346-354 Congress St #216,42.350359,-71.048463,1,1,1,1,1,0,637500,165000,Condominium,1899,2,2014
35 Prince St,42.310211,-71.120772,0,0,0,0,0,0,637500,0,Single-Family,1906,1,2008
36-38 Dickinson Rd,42.348515,-71.161578,0,0,0,0,0,0,637500,145000,Two-Family,1920,2,2004
38 Hanson St #3,42.343516,-71.070186,0,0,0,1,1,0,637500,0,Condominium,1850,1,2010
386 Commercial St #3E,42.366558,-71.051647,0,0,1,1,0,0,637500,75000,Condominium,1925,2,2019
